1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1434.4562),(2 1730.5507),(3 2825.3933),(4 2776.1494),(5 3628.3774),(6 3336.0354),(7 4000.5854),(8 3626.4106),(9 4200.889),(10 3826.075),(11 4448.148),(12 4015.897),(13 4529.4937),(14 4100.9834),(15 4647.428),(16 4195.7065),(17 4744.437),(18 4279.4526),(19 4837.6284),(20 4440.7725),(21 5032.135),(22 4625.0093),(23 5175.7134),(24 4756.3594),(25 5290.675),(26 4899.487),(27 5456.2437),(28 5012.183),(29 5588.951),(30 5159.152),(31 5708.031),(32 5280.931),(33 5813.7783),(34 5389.2627),(35 5940.206),(36 5491.289),(37 6002.431),(38 5522.446),(39 6026.256),(40 5556.0015),(41 6032.1187),(42 5564.521),(43 6026.436),(44 5548.987),(45 5968.6255),(46 5496.4917),(47 5947.44),(48 5497.2275),(49 5997.4585),(50 5522.284),(51 6021.9067),(52 5513.8066),(53 5991.47),(54 5489.411),(55 5935.0757),(56 5425.245),(57 5882.614),(58 5345.7217),(59 5787.249),(60 5251.465),(61 5719.2324),(62 5213.7715),(63 5668.173),(64 5124.9106),(65 5618.011),(66 5135.0693),(67 5627.219),(68 5132.6606),(69 5627.1406),(70 5143.336),(71 5620.917),(72 5126.492),(73 5608.5757),(74 5149.766),(75 5639.905),(76 5136.4556),(77 5623.667),(78 5107.951),(79 5623.9434),
(1 1388.3673),(2 1623.6696),(3 2674.9673),(4 2632.3147),(5 3453.2837),(6 3185.7778),(7 3854.9875),(8 3471.7039),(9 4088.8376),(10 3726.683),(11 4346.3145),(12 3922.4758),(13 4473.8223),(14 4048.6294),(15 4615.006),(16 4167.229),(17 4737.125),(18 4300.145),(19 4877.0005),(20 4455.4863),(21 5040.6284),(22 4607.8647),(23 5157.834),(24 4737.962),(25 5312.35),(26 4919.8247),(27 5503.19),(28 5029.033),(29 5623.4883),(30 5168.8833),(31 5724.5303),(32 5258.813),(33 5867.835),(34 5410.32),(35 5982.177),(36 5461.322),(37 5976.8203),(38 5469.942),(39 6004.5664),(40 5473.464),(41 5985.6675),(42 5471.4717),(43 5958.4795),(44 5456.5625),(45 5943.665),(46 5392.601),(47 5880.476),(48 5398.6763),(49 5932.493),(50 5420.244),(51 5900.464),(52 5359.5264),(53 5861.999),(54 5333.96),(55 5845.5107),(56 5289.8525),(57 5763.765),(58 5206.019),(59 5712.5703),(60 5190.6377),(61 5697.9224),(62 5170.6606),(63 5658.925),(64 5125.03),(65 5644.9756),(66 5085.707),(67 5622.302),(68 5102.868),(69 5633.5103),(70 5091.3057),(71 5593.2646),(72 5042.043),(73 5532.282),(74 4976.782),(75 5473.4375),(76 4926.1406),(77 5427.2363),(78 4899.7666),(79 5446.1016),
(1 1375.0453),(2 1619.3125),(3 2726.4026),(4 2699.7332),(5 3523.6494),(6 3269.798),(7 3916.032),(8 3535.7837),(9 4133.3584),(10 3773.581),(11 4370.6724),(12 3945.8413),(13 4499.5986),(14 4076.5542),(15 4602.9727),(16 4136.8486),(17 4669.462),(18 4231.7188),(19 4818.264),(20 4426.972),(21 4989.4346),(22 4561.962),(23 5117.864),(24 4721.1675),(25 5308.292),(26 4903.079),(27 5468.792),(28 5063.612),(29 5626.124),(30 5198.3125),(31 5722.0674),(32 5300.5073),(33 5863.059),(34 5415.8193),(35 5924.826),(36 5467.9185),(37 5960.967),(38 5482.4727),(39 6004.347),(40 5543.9575),(41 6001.0645),(42 5499.3037),(43 5973.229),(44 5460.2896),(45 5896.1665),(46 5346.615),(47 5806.2417),(48 5270.7656),(49 5751.6045),(50 5238.955),(51 5751.3794),(52 5224.5664),(53 5724.852),(54 5211.5493),(55 5690.6606),(56 5156.7266),(57 5654.916),(58 5084.5244),(59 5571.472),(60 5043.881),(61 5541.0645),(62 5037.375),(63 5528.788),(64 5035.2383),(65 5526.448),(66 5010.968),(67 5513.8726),(68 5028.508),(69 5551.331),(70 5023.7837),(71 5529.9297),(72 5005.4614),(73 5517.143),(74 5011.177),(75 5541.1597),(76 5052.6763),(77 5570.759),(78 5065.0977),(79 5586.9385),
(1 1352.7976),(2 1565.0382),(3 2614.0862),(4 2526.4695),(5 3332.251),(6 3040.258),(7 3667.2827),(8 3298.737),(9 3872.3208),(10 3474.8247),(11 4047.3335),(12 3621.3853),(13 4165.7656),(14 3746.1543),(15 4265.827),(16 3841.9978),(17 4347.951),(18 3952.2603),(19 4499.7),(20 4132.9263),(21 4698.0566),(22 4350.4653),(23 4875.869),(24 4495.5537),(25 5007.6406),(26 4639.2217),(27 5199.419),(28 4779.719),(29 5315.9585),(30 4895.142),(31 5416.955),(32 4995.9224),(33 5494.362),(34 5087.854),(35 5551.2275),(36 5131.819),(37 5587.176),(38 5171.299),(39 5657.665),(40 5204.4785),(41 5673.1533),(42 5176.263),(43 5618.4487),(44 5147.3184),(45 5561.757),(46 5063.992),(47 5493.6245),(48 4985.8706),(49 5448.996),(50 4986.9565),(51 5456.9316),(52 4972.8096),(53 5438.213),(54 4937.9844),(55 5357.7505),(56 4883.8184),(57 5313.0894),(58 4808.65),(59 5278.1113),(60 4773.1343),(61 5233.8247),(62 4741.704),(63 5217.662),(64 4741.4077),(65 5224.8667),(66 4773.5977),(67 5262.0044),(68 4824.325),(69 5254.306),(70 4774.646),(71 5213.0967),(72 4736.839),(73 5193.3076),(74 4718.049),(75 5210.611),(76 4732.3164),(77 5206.8877),(78 4731.7134),(79 5208.968),
(1 1355.0433),(2 1569.2628),(3 2603.6033),(4 2512.7207),(5 3327.4744),(6 3018.824),(7 3638.935),(8 3255.9187),(9 3861.735),(10 3460.21),(11 4050.6265),(12 3630.4304),(13 4166.1523),(14 3723.799),(15 4291.2153),(16 3863.0674),(17 4379.24),(18 3989.7095),(19 4530.6704),(20 4150.539),(21 4732.921),(22 4338.7),(23 4867.308),(24 4469.0923),(25 5012.512),(26 4615.059),(27 5152.6226),(28 4736.9717),(29 5289.062),(30 4884.515),(31 5395.6387),(32 4988.9727),(33 5479.5366),(34 5050.438),(35 5543.393),(36 5100.823),(37 5564.8506),(38 5118.2607),(39 5588.097),(40 5138.9785),(41 5602.044),(42 5135.372),(43 5568.0854),(44 5090.4126),(45 5499.273),(46 4998.4736),(47 5428.6694),(48 4946.557),(49 5376.425),(50 4889.9707),(51 5332.8667),(52 4863.999),(53 5309.877),(54 4828.2983),(55 5239.4136),(56 4732.3936),(57 5165.1343),(58 4704.394),(59 5179.9604),(60 4715.1533),(61 5172.3022),(62 4716.976),(63 5144.7915),(64 4710.697),(65 5177.5903),(66 4714.329),(67 5182.5254),(68 4748.2935),(69 5213.3677),(70 4733.942),(71 5197.02),(72 4746.553),(73 5185.8354),(74 4740.764),(75 5199.7793),(76 4730.686),(77 5192.45),(78 4713.0854),(79 5160.356),
(1 1349.9368),(2 1568.6617),(3 2620.7957),(4 2559.7898),(5 3344.425),(6 3024.4055),(7 3643.4812),(8 3255.2476),(9 3829.884),(10 3459.2888),(11 4067.3662),(12 3669.1953),(13 4230.2183),(14 3806.2087),(15 4339.8735),(16 3897.2297),(17 4406.495),(18 3962.2312),(19 4523.6216),(20 4081.4734),(21 4641.9775),(22 4250.1274),(23 4784.6367),(24 4372.212),(25 4909.0273),(26 4534.5625),(27 5076.9106),(28 4652.465),(29 5181.857),(30 4777.7344),(31 5318.8804),(32 4890.45),(33 5378.961),(34 4908.8076),(35 5388.874),(36 4966.139),(37 5432.844),(38 4992.7793),(39 5492.932),(40 5018.538),(41 5497.906),(42 5001.794),(43 5462.9106),(44 4983.715),(45 5426.122),(46 4938.5737),(47 5388.838),(48 4912.4194),(49 5355.354),(50 4862.8706),(51 5335.434),(52 4835.4307),(53 5292.0513),(54 4818.777),(55 5262.351),(56 4784.269),(57 5227.2563),(58 4731.922),(59 5217.2026),(60 4726.6436),(61 5199.8438),(62 4715.5874),(63 5166.252),(64 4689.507),(65 5188.5195),(66 4735.915),(67 5193.3857),(68 4747.3696),(69 5205.1865),(70 4736.9795),(71 5196.9053),(72 4714.867),(73 5171.102),(74 4729.949),(75 5247.409),(76 4771.112),(77 5232.653),(78 4759.777),(79 5236.104),
(1 1309.1277),(2 1470.0989),(3 2496.596),(4 2379.815),(5 3144.3198),(6 2836.4514),(7 3450.372),(8 3042.2102),(9 3614.545),(10 3204.5015),(11 3775.7554),(12 3336.3354),(13 3876.9478),(14 3447.8228),(15 3982.7053),(16 3537.3423),(17 4061.6135),(18 3618.3142),(19 4163.5186),(20 3726.0164),(21 4289.0337),(22 3859.6848),(23 4422.908),(24 3981.434),(25 4568.2793),(26 4165.195),(27 4691.8145),(28 4252.6274),(29 4812.529),(30 4382.1514),(31 4918.1563),(32 4456.175),(33 4972.494),(34 4507.792),(35 5012.6934),(36 4558.759),(37 5042.855),(38 4580.3345),(39 5118.3647),(40 4657.8535),(41 5169.252),(42 4669.584),(43 5143.5283),(44 4648.2827),(45 5089.079),(46 4553.415),(47 5014.4063),(48 4503.5977),(49 4995.392),(50 4502.4414),(51 5004.3345),(52 4505.12),(53 4999.5063),(54 4502.229),(55 4981.461),(56 4491.777),(57 4941.28),(58 4444.112),(59 4911.3057),(60 4374.6616),(61 4845.267),(62 4318.856),(63 4821.1025),(64 4327.4136),(65 4813.062),(66 4328.123),(67 4818.658),(68 4342.0513),(69 4829.054),(70 4335.7466),(71 4834.129),(72 4331.978),(73 4816.424),(74 4314.0347),(75 4834.617),(76 4357.7256),(77 4831.245),(78 4342.2295),(79 4836.3994),
(1 1289.375),(2 1487.6628),(3 2486.734),(4 2402.627),(5 3140.4595),(6 2856.4885),(7 3457.0034),(8 3066.1487),(9 3572.28),(10 3186.1343),(11 3699.5786),(12 3308.8347),(13 3791.1118),(14 3362.1921),(15 3861.2087),(16 3441.6428),(17 3946.3037),(18 3543.3857),(19 4059.53),(20 3684.271),(21 4248.7217),(22 3867.5278),(23 4385.269),(24 4025.7544),(25 4541.7793),(26 4160.5566),(27 4682.705),(28 4269.9277),(29 4776.342),(30 4391.2705),(31 4883.018),(32 4475.548),(33 4983.187),(34 4564.69),(35 5073.905),(36 4643.334),(37 5122.393),(38 4658.2134),(39 5126.097),(40 4639.146),(41 5094.4536),(42 4656.116),(43 5052.4136),(44 4591.7974),(45 5023.673),(46 4547.5757),(47 4971.2646),(48 4477.3784),(49 4903.1465),(50 4430.301),(51 4897.743),(52 4434.445),(53 4894.872),(54 4421.8267),(55 4865.4727),(56 4414.5103),(57 4844.5073),(58 4369.4116),(59 4779.7495),(60 4303.3887),(61 4708.2363),(62 4205.1772),(63 4632.9644),(64 4183.4546),(65 4645.587),(66 4223.5625),(67 4713.982),(68 4262.617),(69 4745.268),(70 4324.962),(71 4784.2197),(72 4321.2837),(73 4769.752),(74 4335.0474),(75 4812.969),(76 4363.6353),(77 4796.996),(78 4352.4326),(79 4805.93),
(1 1290.2733),(2 1426.1133),(3 2387.117),(4 2258.2727),(5 2976.4456),(6 2641.5151),(7 3210.113),(8 2797.6833),(9 3346.921),(10 2961.4995),(11 3497.3518),(12 3088.4424),(13 3585.4937),(14 3140.422),(15 3656.4104),(16 3227.6758),(17 3750.0103),(18 3334.9333),(19 3868.8826),(20 3488.1914),(21 4045.781),(22 3655.7546),(23 4164.097),(24 3764.4412),(25 4288.572),(26 3885.2888),(27 4425.745),(28 4000.7458),(29 4525.744),(30 4095.2224),(31 4595.671),(32 4184.196),(33 4681.6294),(34 4276.573),(35 4761.674),(36 4309.6787),(37 4802.043),(38 4363.555),(39 4820.3604),(40 4364.9375),(41 4802.308),(42 4318.938),(43 4740.907),(44 4301.2407),(45 4739.735),(46 4292.299),(47 4729.463),(48 4248.1714),(49 4683.611),(50 4199.0176),(51 4650.3916),(52 4170.727),(53 4595.7075),(54 4123.131),(55 4582.969),(56 4113.106),(57 4566.8716),(58 4046.3032),(59 4483.401),(60 3985.6392),(61 4423.4995),(62 3942.926),(63 4415.1333),(64 3948.565),(65 4409.6353),(66 3924.4893),(67 4392.091),(68 3931.199),(69 4405.681),(70 3932.7053),(71 4400.7734),(72 3932.503),(73 4402.809),(74 3936.0525),(75 4432.2964),(76 3988.5164),(77 4455.35),(78 3988.8086),(79 4459.9775),
(1 1270.0695),(2 1438.1415),(3 2404.7014),(4 2271.1648),(5 2967.5789),(6 2637.3098),(7 3184.291),(8 2791.2153),(9 3333.6702),(10 2939.671),(11 3486.116),(12 3099.5881),(13 3610.6526),(14 3169.3564),(15 3678.861),(16 3230.3115),(17 3707.5881),(18 3308.083),(19 3817.6401),(20 3409.641),(21 3959.9639),(22 3570.3992),(23 4106.772),(24 3705.0225),(25 4217.2036),(26 3821.3567),(27 4359.055),(28 3934.767),(29 4476.4263),(30 4049.4185),(31 4559.077),(32 4130.618),(33 4641.742),(34 4207.2876),(35 4693.771),(36 4238.0576),(37 4732.392),(38 4284.2104),(39 4779.4585),(40 4331.438),(41 4807.2305),(42 4325.5557),(43 4772.739),(44 4297.789),(45 4747.5376),(46 4269.1763),(47 4707.493),(48 4226.0645),(49 4697.2603),(50 4240.663),(51 4724.678),(52 4243.951),(53 4699.378),(54 4243.72),(55 4717.7607),(56 4250.2354),(57 4702.856),(58 4193.665),(59 4617.643),(60 4134.9565),(61 4548.3325),(62 4068.4983),(63 4538.8413),(64 4065.083),(65 4517.4473),(66 4041.3135),(67 4478.433),(68 4046.326),(69 4513.0264),(70 4080.6248),(71 4527.6494),(72 4071.0374),(73 4508.0923),(74 4038.2756),(75 4507.8213),(76 4053.4822),(77 4508.018),(78 4053.7483),(79 4500.31),
(1 1237.6322),(2 1352.8457),(3 2292.9714),(4 2132.412),(5 2843.4612),(6 2521.71),(7 3113.9207),(8 2743.3179),(9 3306.7896),(10 2914.1758),(11 3460.0461),(12 3057.0476),(13 3582.1614),(14 3182.5383),(15 3702.2095),(16 3295.2761),(17 3784.8425),(18 3375.964),(19 3891.867),(20 3474.2876),(21 4011.7383),(22 3604.481),(23 4135.6196),(24 3729.9705),(25 4251.652),(26 3851.731),(27 4432.6406),(28 4019.7332),(29 4549.9844),(30 4112.879),(31 4633.5547),(32 4183.2676),(33 4717.5146),(34 4273.854),(35 4764.104),(36 4304.803),(37 4778.832),(38 4316.266),(39 4800.205),(40 4319.1445),(41 4757.11),(42 4293.2305),(43 4752.997),(44 4255.7544),(45 4722.2856),(46 4246.0107),(47 4714.314),(48 4220.1255),(49 4699.0903),(50 4211.3984),(51 4664.717),(52 4143.1167),(53 4618.619),(54 4131.5186),(55 4608.662),(56 4118.0938),(57 4557.445),(58 4019.6514),(59 4501.9146),(60 3989.7603),(61 4486.5913),(62 3970.0105),(63 4451.939),(64 3960.4668),(65 4461.121),(66 3955.6985),(67 4427.303),(68 3945.6216),(69 4436.8164),(70 3953.9028),(71 4439.451),(72 3957.3916),(73 4418.868),(74 3889.2844),(75 4404.213),(76 3905.113),(77 4389.683),(78 3879.8079),(79 4362.377),
(1 1199.2551),(2 1313.7777),(3 2199.8071),(4 2055.15),(5 2750.1787),(6 2452.1943),(7 3020.4692),(8 2677.4253),(9 3216.082),(10 2854.568),(11 3356.555),(12 2977.8179),(13 3488.1848),(14 3105.4775),(15 3626.8276),(16 3204.8528),(17 3711.9878),(18 3324.536),(19 3824.017),(20 3427.978),(21 3937.7922),(22 3543.3923),(23 4059.4429),(24 3683.5474),(25 4203.25),(26 3824.2275),(27 4323.393),(28 3928.9133),(29 4452.7417),(30 4046.87),(31 4529.585),(32 4105.33),(33 4590.959),(34 4167.437),(35 4599.8823),(36 4187.5454),(37 4647.889),(38 4189.87),(39 4667.783),(40 4198.661),(41 4612.829),(42 4121.4434),(43 4550.445),(44 4079.6892),(45 4508.058),(46 4027.3398),(47 4447.5967),(48 3984.323),(49 4406.6733),(50 3936.3818),(51 4357.7227),(52 3876.6418),(53 4318.772),(54 3836.5967),(55 4286.473),(56 3842.739),(57 4272.6963),(58 3801.584),(59 4263.747),(60 3779.3513),(61 4228.8325),(62 3731.7507),(63 4150.7417),(64 3682.3157),(65 4171.3687),(66 3705.8208),(67 4175.8174),(68 3734.9668),(69 4222.204),(70 3736.0454),(71 4197.4766),(72 3722.5845),(73 4193.4976),(74 3719.9116),(75 4194.1763),(76 3712.1042),(77 4187.1523),(78 3693.5188),(79 4170.162),
(1 1172.4462),(2 1289.3702),(3 2134.5715),(4 1998.9911),(5 2660.5127),(6 2385.4294),(7 2903.496),(8 2553.2695),(9 3035.3193),(10 2681.0095),(11 3166.226),(12 2790.363),(13 3262.4194),(14 2878.8345),(15 3353.3037),(16 2961.8608),(17 3407.2983),(18 3037.2942),(19 3508.5815),(20 3137.0295),(21 3608.75),(22 3255.312),(23 3714.8696),(24 3362.0117),(25 3838.0596),(26 3490.261),(27 3944.463),(28 3584.3674),(29 4061.684),(30 3687.052),(31 4131.242),(32 3754.422),(33 4197.771),(34 3832.0876),(35 4236.151),(36 3851.2656),(37 4285.667),(38 3904.7832),(39 4311.6997),(40 3884.8247),(41 4319.2607),(42 3877.898),(43 4292.9136),(44 3874.4011),(45 4268.009),(46 3837.088),(47 4225.3223),(48 3782.5198),(49 4166.9663),(50 3734.577),(51 4145.489),(52 3735.3362),(53 4122.7383),(54 3735.0056),(55 4123.205),(56 3772.9343),(57 4183.5117),(58 3753.1768),(59 4154.7744),(60 3724.341),(61 4104.2095),(62 3706.585),(63 4102.987),(64 3687.1416),(65 4085.251),(66 3677.3435),(67 4078.4546),(68 3674.9697),(69 4098.342),(70 3690.8508),(71 4086.5308),(72 3663.7332),(73 4086.76),(74 3671.6155),(75 4090.6094),(76 3658.0427),(77 4059.8062),(78 3649.4436),(79 4051.917),
(1 1209.1064),(2 1319.7166),(3 2245.6582),(4 2074.1704),(5 2774.8308),(6 2445.8208),(7 3012.0483),(8 2596.5593),(9 3104.9138),(10 2692.2642),(11 3225.3315),(12 2800.01),(13 3279.5425),(14 2854.7378),(15 3356.5693),(16 2935.073),(17 3433.2275),(18 3006.9944),(19 3519.6082),(20 3124.805),(21 3622.0442),(22 3213.9023),(23 3725.6892),(24 3299.4893),(25 3802.0945),(26 3408.8835),(27 3937.5232),(28 3509.9602),(29 4024.3672),(30 3614.985),(31 4117.6597),(32 3692.1108),(33 4166.223),(34 3734.9983),(35 4197.8447),(36 3759.6252),(37 4243.484),(38 3803.7905),(39 4277.6484),(40 3795.6077),(41 4249.7983),(42 3804.2747),(43 4221.5083),(44 3773.3088),(45 4195.465),(46 3719.0474),(47 4131.9326),(48 3656.274),(49 4088.3867),(50 3623.985),(51 4090.511),(52 3627.3875),(53 4070.2786),(54 3606.9707),(55 4079.7988),(56 3631.6838),(57 4066.6682),(58 3587.7788),(59 4026.6963),(60 3551.313),(61 4007.6453),(62 3534.1497),(63 3985.8635),(64 3524.6023),(65 3985.2112),(66 3518.8906),(67 3984.33),(68 3526.7446),(69 4008.376),(70 3580.7336),(71 4023.5813),(72 3566.0852),(73 4030.651),(74 3589.3757),(75 4054.6965),(76 3590.3547),(77 4036.8525),(78 3575.9846),(79 4037.4712),
(1 1173.8668),(2 1264.9823),(3 2164.2036),(4 1982.5469),(5 2672.6),(6 2353.156),(7 2908.5847),(8 2514.4595),(9 3039.9487),(10 2644.2456),(11 3164.6804),(12 2738.5117),(13 3224.9739),(14 2816.7559),(15 3341.5186),(16 2927.1458),(17 3440.4268),(18 3016.6677),(19 3557.067),(20 3137.2097),(21 3666.7964),(22 3268.121),(23 3770.8945),(24 3347.5964),(25 3885.2576),(26 3501.6394),(27 4040.5774),(28 3621.3413),(29 4153.7495),(30 3742.1445),(31 4236.644),(32 3785.8884),(33 4276.618),(34 3875.2332),(35 4359.9497),(36 3938.761),(37 4430.087),(38 3980.3103),(39 4452.727),(40 3965.187),(41 4414.3486),(42 3946.4075),(43 4362.6245),(44 3877.2288),(45 4327.019),(46 3837.772),(47 4274.968),(48 3793.1848),(49 4212.1777),(50 3733.7239),(51 4183.072),(52 3694.0176),(53 4132.6104),(54 3653.9111),(55 4091.8748),(56 3618.776),(57 4089.074),(58 3597.0867),(59 4029.7905),(60 3554.8374),(61 4005.6042),(62 3532.7485),(63 3990.5464),(64 3553.7065),(65 4037.4883),(66 3575.7385),(67 4026.1116),(68 3569.6863),(69 4029.5537),(70 3560.0762),(71 4012.03),(72 3556.2947),(73 4014.9456),(74 3572.8286),(75 4024.6956),(76 3561.394),(77 4016.0715),(78 3538.2246),(79 4019.661),
(1 1162.6077),(2 1227.9856),(3 2067.4434),(4 1873.6217),(5 2530.555),(6 2205.6775),(7 2758.7407),(8 2373.7844),(9 2900.4993),(10 2507.394),(11 3009.6191),(12 2624.9573),(13 3103.6482),(14 2725.5237),(15 3247.1223),(16 2841.0247),(17 3361.8945),(18 2960.6042),(19 3458.8281),(20 3058.6738),(21 3565.877),(22 3189.0095),(23 3688.0522),(24 3310.4204),(25 3829.7156),(26 3460.2969),(27 3975.224),(28 3557.2354),(29 4063.517),(30 3637.3281),(31 4124.726),(32 3717.566),(33 4201.515),(34 3778.8123),(35 4256.9536),(36 3810.762),(37 4255.222),(38 3817.7207),(39 4254.2505),(40 3797.6406),(41 4220.324),(42 3771.1372),(43 4204.3667),(44 3759.9985),(45 4222.854),(46 3758.9297),(47 4175.4224),(48 3711.1873),(49 4121.061),(50 3644.5793),(51 4061.1738),(52 3562.737),(53 3974.6174),(54 3489.423),(55 3905.933),(56 3456.6003),(57 3893.5576),(58 3410.4792),(59 3850.4587),(60 3352.536),(61 3799.54),(62 3331.8228),(63 3797.9856),(64 3345.1523),(65 3803.2551),(66 3342.6208),(67 3789.0137),(68 3344.6877),(69 3816.058),(70 3357.6729),(71 3779.3328),(72 3313.8145),(73 3767.3076),(74 3324.782),(75 3780.706),(76 3316.9883),(77 3767.694),(78 3300.8982),(79 3768.3538),
(1 1150.3691),(2 1247.7228),(3 2081.222),(4 1903.098),(5 2542.9116),(6 2219.4565),(7 2741.6497),(8 2351.8823),(9 2838.588),(10 2434.5098),(11 2913.6462),(12 2513.9011),(13 2965.3918),(14 2556.9785),(15 3035.3535),(16 2640.7231),(17 3101.3457),(18 2732.1584),(19 3205.684),(20 2794.8245),(21 3272.186),(22 2900.5977),(23 3376.2856),(24 3014.2004),(25 3497.946),(26 3135.303),(27 3607.622),(28 3230.7852),(29 3717.9583),(30 3314.0613),(31 3761.6812),(32 3387.6084),(33 3827.4448),(34 3435.2178),(35 3879.9016),(36 3480.8572),(37 3912.0222),(38 3492.538),(39 3931.92),(40 3503.0857),(41 3918.7078),(42 3479.7305),(43 3890.8635),(44 3464.6985),(45 3890.0715),(46 3466.948),(47 3858.509),(48 3386.6812),(49 3812.0193),(50 3354.6409),(51 3734.271),(52 3277.7163),(53 3721.391),(54 3269.3818),(55 3677.8132),(56 3258.7588),(57 3662.4824),(58 3191.3875),(59 3594.2898),(60 3158.1729),(61 3607.104),(62 3168.1),(63 3610.5242),(64 3180.0117),(65 3587.139),(66 3147.271),(67 3582.3428),(68 3140.6062),(69 3579.8564),(70 3153.9158),(71 3582.1162),(72 3172.0405),(73 3605.073),(74 3181.4316),(75 3593.0254),(76 3169.4258),(77 3616.2688),(78 3181.452),(79 3634.2095),
(1 1109.8058),(2 1177.3151),(3 1989.9971),(4 1821.1503),(5 2440.1267),(6 2135.5613),(7 2640.2222),(8 2285.3777),(9 2785.8582),(10 2432.4705),(11 2891.163),(12 2524.8718),(13 2987.7417),(14 2587.0588),(15 3044.0042),(16 2661.5068),(17 3128.0017),(18 2773.3147),(19 3246.497),(20 2872.0452),(21 3342.4517),(22 2980.9297),(23 3447.5698),(24 3095.3474),(25 3556.458),(26 3215.4854),(27 3672.141),(28 3302.3235),(29 3734.4983),(30 3366.4841),(31 3794.1157),(32 3430.1887),(33 3871.4963),(34 3468.2952),(35 3888.5813),(36 3506.754),(37 3927.0833),(38 3533.1843),(39 3956.6558),(40 3545.7632),(41 3941.27),(42 3511.834),(43 3869.8938),(44 3436.8608),(45 3813.628),(46 3398.4736),(47 3781.355),(48 3352.1252),(49 3725.6135),(50 3294.334),(51 3678.2803),(52 3248.1667),(53 3655.9504),(54 3219.5474),(55 3628.9482),(56 3220.8293),(57 3606.6042),(58 3152.0356),(59 3549.3438),(60 3120.498),(61 3515.813),(62 3084.6323),(63 3487.9973),(64 3086.3877),(65 3484.7144),(66 3080.37),(67 3489.5125),(68 3084.2522),(69 3506.8662),(70 3093.0994),(71 3507.2605),(72 3099.4307),(73 3526.1462),(74 3115.1592),(75 3521.4177),(76 3084.7908),(77 3501.5767),(78 3081.8877),(79 3506.274),
(1 1129.5868),(2 1201.9541),(3 2035.9513),(4 1844.9878),(5 2491.2),(6 2179.5574),(7 2677.0144),(8 2310.252),(9 2823.1372),(10 2448.2378),(11 2928.7075),(12 2536.436),(13 3018.933),(14 2658.121),(15 3163.5542),(16 2758.8342),(17 3252.4114),(18 2875.9043),(19 3379.2197),(20 2991.7185),(21 3488.614),(22 3100.0166),(23 3586.7136),(24 3187.2131),(25 3689.9668),(26 3294.2852),(27 3787.8975),(28 3378.1443),(29 3861.37),(30 3471.7407),(31 3940.6511),(32 3525.0093),(33 3993.3381),(34 3591.2214),(35 4039.4658),(36 3613.3127),(37 4058.3008),(38 3627.7556),(39 4063.8606),(40 3628.5732),(41 4068.7952),(42 3612.6802),(43 4014.9802),(44 3563.82),(45 3992.7097),(46 3556.0806),(47 3966.873),(48 3532.7886),(49 3954.314),(50 3496.2327),(51 3907.9292),(52 3449.0764),(53 3856.4348),(54 3398.135),(55 3814.7542),(56 3370.6675),(57 3794.0974),(58 3329.4092),(59 3752.9792),(60 3315.9924),(61 3745.3115),(62 3309.13),(63 3743.4185),(64 3317.7017),(65 3739.279),(66 3310.5134),(67 3754.5322),(68 3327.0908),(69 3760.2773),(70 3327.73),(71 3741.736),(72 3312.901),(73 3729.3145),(74 3274.693),(75 3721.8975),(76 3276.066),(77 3694.7458),(78 3250.919),(79 3697.4424),
(1 1109.6477),(2 1177.9121),(3 1988.8243),(4 1785.339),(5 2419.445),(6 2089.192),(7 2631.0693),(8 2253.2415),(9 2763.1487),(10 2371.4373),(11 2854.701),(12 2452.027),(13 2927.631),(14 2528.2693),(15 2992.961),(16 2576.0737),(17 3061.017),(18 2665.028),(19 3159.36),(20 2774.0737),(21 3269.9053),(22 2866.846),(23 3358.085),(24 2981.7783),(25 3461.6987),(26 3079.1455),(27 3572.6187),(28 3177.1445),(29 3654.8496),(30 3244.4033),(31 3711.6753),(32 3304.7769),(33 3777.7385),(34 3368.4734),(35 3830.4802),(36 3420.0334),(37 3878.6514),(38 3457.1543),(39 3912.843),(40 3472.267),(41 3906.8936),(42 3461.2498),(43 3888.0347),(44 3432.756),(45 3838.1018),(46 3387.3987),(47 3815.0417),(48 3380.7356),(49 3779.2534),(50 3310.4849),(51 3739.1348),(52 3287.0745),(53 3736.81),(54 3290.097),(55 3700.3298),(56 3270.6277),(57 3674.3535),(58 3201.1917),(59 3610.5356),(60 3166.5232),(61 3593.685),(62 3136.6177),(63 3569.4932),(64 3136.7395),(65 3585.0144),(66 3143.5222),(67 3561.712),(68 3130.0327),(69 3559.4846),(70 3152.2502),(71 3586.4575),(72 3127.0361),(73 3563.365),(74 3109.6726),(75 3561.9734),(76 3146.307),(77 3583.5435),(78 3146.3513),(79 3600.7998),
