1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 157629.83),(2 404759.75),(3 650030.94),(4 829897.2),(5 944940.2),(6 1009273.7),(7 1099954),(8 1128574.9),(9 1129578.9),(10 1153468.6),(11 1269724.4),(12 1436653.9),(13 1608212),(14 1744093.6),(15 1843834),(16 1909258.4),(17 1951378.9),(18 2037779),(19 2108723.3),(20 2121866.3),(21 2153803.8),(22 2211981.8),(23 2320465.3),(24 2428604.5),(25 2566063),(26 2674331.8),(27 2729830),(28 2612097),(29 2475431.8),(30 2344789.5),(31 2246532.3),(32 2153463.3),(33 2149177.8),(34 2227343),(35 2360973.3),(36 2483317),(37 2550141.8),(38 2509500),(39 2390493.3),(40 2241515.8),(41 2086307.1),(42 1961811.4),(43 1893495.4),(44 1925851.5),(45 2023523.9),(46 2146106.3),(47 2281394.3),(48 2340162.8),(49 2356317.8),(50 2299301.8),(51 2195588.8),(52 2191957),(53 2308920.8),(54 2388861.3),(55 2489286.8),(56 2620827.3),(57 2736773.5),(58 2787375.3),(59 2755212),(60 2672973.3),(61 2598045.3),(62 2486052.8),(63 2403039),(64 2358030),(65 2398460.8),(66 2450396.8),(67 2536170.3),(68 2595721.8),(69 2662389.8),(70 2610911.8),(71 2526287.8),(72 2377072),(73 2251733.8),(74 2098393.8),(75 1990928.4),(76 1964678.6),(77 2023689.1),(78 2215909.8),(79 2360556.8),
(1 138631.97),(2 379163.5),(3 642266.1),(4 872711.1),(5 1047918.2),(6 1162523.3),(7 1240463.5),(8 1315719.4),(9 1368581.4),(10 1434981.1),(11 1631692.6),(12 1823359.6),(13 2014290),(14 2215570.5),(15 2417871.5),(16 2540114.3),(17 2556030.5),(18 2592657),(19 2667197.3),(20 2714117.5),(21 2845378.5),(22 3046406.8),(23 3256449),(24 3405280),(25 3538748.8),(26 3640784.5),(27 3642040),(28 3614457.5),(29 3538285.5),(30 3461537.3),(31 3443031.3),(32 3418914),(33 3408472.8),(34 3472833.3),(35 3452156),(36 3397192.5),(37 3293175.5),(38 3168057.5),(39 3033298.5),(40 2929365),(41 2830076.5),(42 2801429.5),(43 2769900.5),(44 2804790.5),(45 2852466.5),(46 2875055.5),(47 2895461),(48 2880988.5),(49 2816695.3),(50 2796646.8),(51 2820898.5),(52 2803267.5),(53 2908365.5),(54 2923374.8),(55 2970805.3),(56 3056275.5),(57 3127381),(58 3168196.8),(59 3128720.5),(60 3059632.5),(61 3032085.3),(62 2967253.3),(63 2940702.5),(64 2998470),(65 3111264.5),(66 3254729.5),(67 3341826.8),(68 3382897.5),(69 3382718.5),(70 3281182.8),(71 3127412),(72 2955183.5),(73 2857912.3),(74 2793526.3),(75 2814789.5),(76 2822642),(77 2846104),(78 2890019.5),(79 2874599.3),
(1 165374.33),(2 477821.53),(3 807042.06),(4 1103464.5),(5 1324834.4),(6 1513716.4),(7 1646662.4),(8 1764562.5),(9 1890101.4),(10 2076548.5),(11 2362485.3),(12 2664212.5),(13 2959236.3),(14 3225114),(15 3439159.8),(16 3588182.3),(17 3671579.3),(18 3752680.8),(19 3847745.3),(20 3956066),(21 4133381.8),(22 4294264),(23 4478733.5),(24 4611224.5),(25 4751324.5),(26 4842012),(27 4886103.5),(28 4936728.5),(29 4966599.5),(30 4914941.5),(31 4840360.5),(32 4740750),(33 4639456),(34 4600503.5),(35 4549764.5),(36 4540774.5),(37 4488013.5),(38 4388694),(39 4213006.5),(40 4006299.3),(41 3724883.3),(42 3533035.3),(43 3411975),(44 3365092),(45 3349250),(46 3312549.3),(47 3259290.8),(48 3184892.3),(49 3055902.8),(50 2927205.8),(51 2860282),(52 2801246),(53 2784343.5),(54 2819419.8),(55 2902909.3),(56 3031205.3),(57 3090673.3),(58 3076917),(59 2989814),(60 2905311.3),(61 2843561.8),(62 2823928.8),(63 2838535),(64 2905020),(65 2990432.8),(66 3046294.8),(67 3060109),(68 3059222),(69 3032990.8),(70 2977794),(71 2916394),(72 2856811),(73 2851396.8),(74 2936386),(75 3056605.3),(76 3123951.8),(77 3159762),(78 3152364.8),(79 3165507.3),
(1 147755.97),(2 418622.66),(3 720735),(4 1006242.7),(5 1232464.3),(6 1386162.3),(7 1508275.8),(8 1648479.3),(9 1815744.4),(10 2020740.9),(11 2295985),(12 2591522),(13 2889840.3),(14 3158271.8),(15 3392126.8),(16 3517337.8),(17 3615461.5),(18 3690867),(19 3739002.3),(20 3789605.3),(21 3881297),(22 4013420.5),(23 4171633.3),(24 4273684.5),(25 4360218),(26 4384591),(27 4336777),(28 4302054),(29 4214612),(30 4118561.8),(31 4023544),(32 3916569),(33 3821679),(34 3796571),(35 3753349.3),(36 3706330.8),(37 3630147.5),(38 3524985),(39 3395450.3),(40 3291001.3),(41 3233100.3),(42 3229129.5),(43 3259062),(44 3279158.5),(45 3296757.8),(46 3296658.8),(47 3245787),(48 3165026),(49 3111277),(50 3025649),(51 2981831.8),(52 2971861.3),(53 2985392),(54 3031306),(55 3102123),(56 3214903.5),(57 3309317.8),(58 3341268),(59 3259295.5),(60 3178695.5),(61 3148329),(62 3149370.3),(63 3164029.3),(64 3214211.3),(65 3303319),(66 3350116.5),(67 3366011.3),(68 3388605.3),(69 3415748.5),(70 3391403.8),(71 3377658.3),(72 3354551.5),(73 3387733.8),(74 3473206.8),(75 3555114.5),(76 3611923),(77 3617320.5),(78 3635890.3),(79 3630851),
(1 152629.19),(2 418553.78),(3 717370.3),(4 974196.2),(5 1183487.8),(6 1357092),(7 1494739.8),(8 1591390.9),(9 1715890.9),(10 1897627.3),(11 2104822),(12 2323268),(13 2510580.5),(14 2683203.8),(15 2855478.5),(16 2978421),(17 3054891.8),(18 3099724.8),(19 3094501.5),(20 3154774.5),(21 3271983.8),(22 3450686.5),(23 3639376.8),(24 3774898.5),(25 3881853.8),(26 3918595.8),(27 3920733.8),(28 3896673.8),(29 3818150.5),(30 3783357.8),(31 3750789.8),(32 3759583.3),(33 3804960),(34 3870147),(35 3889164.8),(36 3890435),(37 3822035.8),(38 3707190.5),(39 3608966.5),(40 3533190.5),(41 3496545.5),(42 3449929.5),(43 3430620.3),(44 3481908.3),(45 3537126.3),(46 3607032.8),(47 3658868.8),(48 3658671.3),(49 3613734.5),(50 3571740.3),(51 3568274.3),(52 3551719.8),(53 3555414.5),(54 3601936.8),(55 3662955.8),(56 3773701.8),(57 3881497.5),(58 3978254.5),(59 4017267.8),(60 4001156.3),(61 3991456),(62 4011696.8),(63 3988632.8),(64 3991080),(65 4019575.3),(66 4118856.3),(67 4178912),(68 4246936),(69 4322814),(70 4342870),(71 4424628.5),(72 4476354),(73 4528898),(74 4606608),(75 4721749),(76 4858979),(77 4988260.5),(78 5148639.5),(79 5269066),
(1 141681.2),(2 391499.6),(3 650044.75),(4 898067.6),(5 1088970.8),(6 1285994),(7 1447109.3),(8 1561075.5),(9 1701801.3),(10 1860831.6),(11 2070051.6),(12 2271849.3),(13 2452701.8),(14 2593349.5),(15 2693854.3),(16 2746521.5),(17 2771432.8),(18 2766762),(19 2714072.5),(20 2666802.5),(21 2720562.8),(22 2848369.3),(23 2956560.5),(24 3062095.5),(25 3209320.5),(26 3278613.5),(27 3289962),(28 3310408.8),(29 3345018.3),(30 3382046.8),(31 3418292),(32 3495164.8),(33 3537834.5),(34 3608760),(35 3664648.5),(36 3722812.8),(37 3717330.8),(38 3704240),(39 3657782),(40 3575516),(41 3518133.3),(42 3501608.5),(43 3522020.8),(44 3559620.8),(45 3580646.5),(46 3641580.8),(47 3759329.5),(48 3840453.5),(49 3891322.5),(50 3990308),(51 4123546.5),(52 4191404.8),(53 4269511),(54 4358793.5),(55 4441084),(56 4533081.5),(57 4588397),(58 4654619),(59 4724397.5),(60 4688715.5),(61 4690491),(62 4656475),(63 4659033.5),(64 4662770.5),(65 4676065.5),(66 4726631),(67 4764257.5),(68 4775548),(69 4737373.5),(70 4672037.5),(71 4652171),(72 4607304),(73 4598681),(74 4637016.5),(75 4684118),(76 4714016),(77 4730322.5),(78 4790915),(79 4817571),
(1 147557.4),(2 398608.72),(3 639733.75),(4 859943.25),(5 1036204.7),(6 1182361.5),(7 1289395),(8 1377899.5),(9 1476556.9),(10 1592904.5),(11 1783311.4),(12 2003641.8),(13 2170658.3),(14 2288938.3),(15 2377514.3),(16 2521985),(17 2622727.8),(18 2699589),(19 2759679),(20 2796536),(21 2850186.5),(22 2929583.5),(23 3042135),(24 3142696.3),(25 3257931.5),(26 3352677.8),(27 3389973),(28 3362757.8),(29 3345760.3),(30 3326098.3),(31 3299214.8),(32 3286688.5),(33 3241743),(34 3191235.5),(35 3153142.5),(36 3128552),(37 3082196.5),(38 3012953),(39 2934272),(40 2820864),(41 2737215),(42 2693912),(43 2689975.8),(44 2676305.5),(45 2697381),(46 2724547.5),(47 2730197.5),(48 2727772.5),(49 2709535),(50 2714056.3),(51 2715142.5),(52 2718945.8),(53 2695960.3),(54 2722426.3),(55 2767043.8),(56 2807351.5),(57 2841904.5),(58 2899929.5),(59 2919661.5),(60 2890255),(61 2890075.5),(62 2851378.5),(63 2847713.5),(64 2873464.5),(65 2916795.8),(66 2959057.5),(67 2972561.8),(68 2982119),(69 3019574.8),(70 3032774.5),(71 3004040),(72 2959773.5),(73 2902175),(74 2873886.8),(75 2877178.8),(76 2903685.5),(77 2936478.8),(78 2997137.8),(79 3022414.3),
(1 158869.22),(2 453699.88),(3 748477.25),(4 1015277.2),(5 1231884),(6 1348499.8),(7 1400271.4),(8 1430100.8),(9 1481471.5),(10 1595304.8),(11 1774178.9),(12 1995351.5),(13 2181904),(14 2318558.3),(15 2426454.5),(16 2527145.3),(17 2555986.3),(18 2571118.5),(19 2582898.8),(20 2604144.3),(21 2675241.8),(22 2774498.3),(23 2914200.8),(24 3092675),(25 3264208.5),(26 3420311.5),(27 3528612.3),(28 3526273.5),(29 3492767),(30 3407603.8),(31 3304784),(32 3249343.5),(33 3247745),(34 3265742.5),(35 3291771.3),(36 3333475.3),(37 3333367.5),(38 3271235.8),(39 3165264.5),(40 3033395.3),(41 2938635.8),(42 2897545.5),(43 2886049),(44 2903909.8),(45 2927982.8),(46 2949453.5),(47 2952489.8),(48 2910962.3),(49 2807191.5),(50 2725271.8),(51 2684683.3),(52 2690459.3),(53 2721661.8),(54 2765810.3),(55 2772863),(56 2786662.5),(57 2767025.5),(58 2749003.3),(59 2695633.3),(60 2622206.8),(61 2557584.3),(62 2548461.8),(63 2598675.5),(64 2648807),(65 2684521.8),(66 2696239),(67 2697181.8),(68 2684869.5),(69 2714292.3),(70 2703621),(71 2706240),(72 2742833),(73 2817639),(74 2865751.5),(75 2892139.5),(76 2936679),(77 2970040.8),(78 3016106.5),(79 3019932.3),
(1 149735.61),(2 400614.34),(3 659709.3),(4 913224.8),(5 1151969.8),(6 1341101.5),(7 1486755),(8 1596532.3),(9 1692003.8),(10 1816418.3),(11 2006851.8),(12 2216551.8),(13 2397026.8),(14 2576482),(15 2720149.3),(16 2802536),(17 2851203.5),(18 2846586),(19 2852749),(20 2905394.3),(21 3001874.3),(22 3121944.5),(23 3251772),(24 3384944.3),(25 3514596.3),(26 3647896),(27 3709434.3),(28 3700812.8),(29 3702231.5),(30 3724591),(31 3727393.3),(32 3717797.8),(33 3690931.3),(34 3670470),(35 3653810),(36 3633857),(37 3593817.8),(38 3472063.8),(39 3324174.3),(40 3185841.8),(41 3047515),(42 2955007.5),(43 2923068),(44 2928954.8),(45 2942142.5),(46 2953838),(47 2954695.3),(48 2927626.8),(49 2912994.8),(50 2901316.3),(51 2899803.8),(52 2920794.3),(53 2995152),(54 3076846.3),(55 3148598.5),(56 3207679.5),(57 3237548),(58 3239919.5),(59 3194370),(60 3130647.5),(61 3092013.8),(62 3074578.8),(63 3101483.3),(64 3134592.5),(65 3192949.3),(66 3248909.3),(67 3297603.5),(68 3366967.3),(69 3394442.3),(70 3397569.8),(71 3410979),(72 3437503.5),(73 3505953.3),(74 3568169),(75 3635614.5),(76 3686117.8),(77 3729341),(78 3734062.5),(79 3698294.5),
(1 162218.33),(2 455139.16),(3 763652.7),(4 1053391),(5 1299005.6),(6 1477643.5),(7 1583534.9),(8 1643169.4),(9 1706171.3),(10 1812179.5),(11 2000476.6),(12 2231804),(13 2462945.3),(14 2665389.8),(15 2823794.3),(16 2927164),(17 2973245.8),(18 2991047.3),(19 3002802.8),(20 3034568.5),(21 3124214.3),(22 3286108),(23 3471172.5),(24 3665715.3),(25 3809733.3),(26 3912506.8),(27 3956267.5),(28 3939082.8),(29 3898666.8),(30 3879177.8),(31 3893311),(32 3932320.5),(33 3973051.5),(34 4006079.5),(35 4037115.5),(36 4010260),(37 3952079.5),(38 3863937),(39 3742721),(40 3601194.3),(41 3497797.8),(42 3450640),(43 3477648.8),(44 3557948.5),(45 3627298.3),(46 3696888),(47 3742665.8),(48 3746399.5),(49 3748597),(50 3715703.5),(51 3684776.3),(52 3651494.8),(53 3663658.5),(54 3708031.8),(55 3768643.5),(56 3819481.8),(57 3859860.5),(58 3883357),(59 3858048),(60 3811268.5),(61 3778820.5),(62 3738201.8),(63 3745527),(64 3775540),(65 3843128.5),(66 3952433.3),(67 4062130.8),(68 4167102.3),(69 4216937),(70 4215603.5),(71 4239687),(72 4256141),(73 4302470),(74 4351154),(75 4440118.5),(76 4526981.5),(77 4637107.5),(78 4726299.5),(79 4801406),
(1 165608.38),(2 462189.34),(3 768043.25),(4 1048379.6),(5 1298348.1),(6 1488660.9),(7 1612383.8),(8 1715302.5),(9 1817769.6),(10 1952440.9),(11 2145202.5),(12 2411400.8),(13 2644692.5),(14 2864092.8),(15 3015882.3),(16 3137827.8),(17 3222457),(18 3286982.5),(19 3328270),(20 3373346.3),(21 3466647.3),(22 3621575),(23 3812918.3),(24 3978453.8),(25 4102873.5),(26 4175738.8),(27 4183568),(28 4167322.3),(29 4103235.8),(30 4055192),(31 4047287),(32 4089415.5),(33 4126226.8),(34 4154805.8),(35 4154227.3),(36 4100632.5),(37 4012126),(38 3871209.5),(39 3720991.5),(40 3556125.8),(41 3420302.8),(42 3365730.8),(43 3327664.3),(44 3351730),(45 3411834.3),(46 3442256.8),(47 3471987.3),(48 3485436),(49 3459707),(50 3396479.8),(51 3331046),(52 3305173.8),(53 3328219.3),(54 3401121.3),(55 3471971.8),(56 3524999.5),(57 3581921),(58 3608693.5),(59 3593418),(60 3513962.3),(61 3480061.5),(62 3412826),(63 3379231.8),(64 3407091),(65 3479286.3),(66 3571373.3),(67 3644024.3),(68 3698082.3),(69 3725641.8),(70 3767212),(71 3795481),(72 3806666.5),(73 3872090),(74 3982725.8),(75 4085539.3),(76 4211822),(77 4357543),(78 4498989.5),(79 4611536),
(1 151913.77),(2 428072.88),(3 719869.1),(4 996954.2),(5 1238651.5),(6 1405850.1),(7 1504587),(8 1555470.3),(9 1581989.9),(10 1634947.1),(11 1768276.5),(12 1930285.3),(13 2097516.8),(14 2257619.8),(15 2395848),(16 2511673),(17 2566957.3),(18 2592583.8),(19 2587489.8),(20 2623741.5),(21 2724592),(22 2857345.5),(23 3005155.3),(24 3169101.3),(25 3317220.5),(26 3436353.5),(27 3511982.5),(28 3551295.3),(29 3551740.5),(30 3544544),(31 3528381.3),(32 3542588.3),(33 3539433),(34 3557044.5),(35 3577400.3),(36 3593428.8),(37 3570056.3),(38 3529392.3),(39 3456346.5),(40 3376952.3),(41 3313545.8),(42 3289416.3),(43 3261865),(44 3286766),(45 3336597.3),(46 3403887.8),(47 3441500.5),(48 3474204.5),(49 3467009.5),(50 3454067.5),(51 3430114.8),(52 3421968),(53 3426050.8),(54 3473123.5),(55 3546352.8),(56 3612097.8),(57 3691475.3),(58 3754122.8),(59 3804855),(60 3797598),(61 3776331.8),(62 3766825.8),(63 3754772.3),(64 3793429.5),(65 3845515.8),(66 3935295.3),(67 4037959),(68 4126065),(69 4165618.8),(70 4227072),(71 4258891),(72 4259248),(73 4283041.5),(74 4333084),(75 4367695.5),(76 4415678),(77 4491945.5),(78 4557458),(79 4585873.5),
(1 153823.2),(2 423298.84),(3 703397.44),(4 948448.7),(5 1154328.9),(6 1302583.5),(7 1408016.6),(8 1481289.6),(9 1562838.4),(10 1680433.4),(11 1890426.9),(12 2126605.3),(13 2362463),(14 2564731.3),(15 2718840.3),(16 2842844),(17 2924539.3),(18 2978787.3),(19 3000616.8),(20 3030262.8),(21 3086101.3),(22 3211301.8),(23 3333110),(24 3459655),(25 3549941.8),(26 3581346.8),(27 3598092),(28 3614319.8),(29 3628684.8),(30 3626080),(31 3575963.3),(32 3568622.8),(33 3593808),(34 3617921.8),(35 3656649.3),(36 3677050.8),(37 3648805),(38 3578053.8),(39 3469357.8),(40 3339248),(41 3225285),(42 3180031),(43 3176407.3),(44 3219518.8),(45 3285960),(46 3338004.3),(47 3378103.8),(48 3364382),(49 3335169.3),(50 3272414.8),(51 3216946.8),(52 3206013),(53 3203812),(54 3221838.8),(55 3269211.3),(56 3316739.3),(57 3345464),(58 3339553.3),(59 3320506),(60 3294676),(61 3242977.3),(62 3225164.3),(63 3217030.8),(64 3237554),(65 3279499.8),(66 3327134.8),(67 3385567.3),(68 3416753.3),(69 3446812.3),(70 3501032.8),(71 3540354.8),(72 3583094.8),(73 3651282.8),(74 3705457),(75 3738272.8),(76 3745521.3),(77 3766860),(78 3753071.3),(79 3742692),
(1 152231.6),(2 422782.63),(3 706938.06),(4 957848.56),(5 1151375.9),(6 1296327.8),(7 1374231.4),(8 1417003.6),(9 1471836.1),(10 1575113.6),(11 1764640.4),(12 1974683.9),(13 2180649.8),(14 2356774),(15 2492440.8),(16 2592897),(17 2624687.3),(18 2630958),(19 2602876),(20 2623514),(21 2684399.3),(22 2769499),(23 2880680.8),(24 2980066.3),(25 3063248.3),(26 3114373.8),(27 3124891.5),(28 3090451.8),(29 3031025.3),(30 2974019.3),(31 2927487),(32 2883863.8),(33 2850144.8),(34 2829672.3),(35 2815899),(36 2795625),(37 2740698.5),(38 2675394.3),(39 2620351.3),(40 2552289.3),(41 2470119),(42 2435052.3),(43 2430895),(44 2474887.8),(45 2529769),(46 2603979.8),(47 2688948.3),(48 2754931.8),(49 2797703.8),(50 2826442.3),(51 2842439.3),(52 2859909),(53 2919158.5),(54 3029845),(55 3158654),(56 3315441.5),(57 3454083),(58 3555452.3),(59 3585783),(60 3578631.8),(61 3560894),(62 3538503.8),(63 3564575.3),(64 3613011.3),(65 3681989.8),(66 3760239),(67 3846393.5),(68 3913414),(69 4008068.5),(70 4068538.3),(71 4047777.5),(72 3980693),(73 3983028.3),(74 3996882.5),(75 3999955.8),(76 4019326),(77 4048386),(78 4045936.8),(79 4028000),
(1 147570.94),(2 413670.75),(3 700897.44),(4 969457.8),(5 1179884.5),(6 1333352.4),(7 1408629.8),(8 1442571.6),(9 1467713.1),(10 1538333.8),(11 1670600.5),(12 1849287.9),(13 2038016.8),(14 2241287),(15 2387742),(16 2471949.5),(17 2499448.3),(18 2474607),(19 2448727),(20 2437505.3),(21 2455094.5),(22 2554888.3),(23 2720248.8),(24 2896268.3),(25 3026321.3),(26 3139577.5),(27 3221101.5),(28 3261165.8),(29 3260887),(30 3260649),(31 3258334.8),(32 3272502.5),(33 3319372.5),(34 3380039),(35 3415030.5),(36 3402079.3),(37 3373719.3),(38 3302397),(39 3187197.5),(40 3057009.3),(41 2930617),(42 2852485.5),(43 2815224),(44 2807046),(45 2796026),(46 2810784.8),(47 2828264),(48 2834339),(49 2835164.8),(50 2853631.8),(51 2852392.3),(52 2884989),(53 2929664),(54 2974878.5),(55 3057514.3),(56 3143973),(57 3207274.3),(58 3250315),(59 3286971.8),(60 3274571.8),(61 3281889.5),(62 3335681),(63 3411583.3),(64 3495123.8),(65 3599355.8),(66 3679891.8),(67 3759371.5),(68 3830790),(69 3937056.8),(70 4034400.3),(71 4066366),(72 4039001),(73 3998838),(74 3960177.3),(75 3982917.8),(76 3986196.3),(77 3990922.5),(78 4011414.5),(79 4018580.8),
(1 151866.48),(2 414721.03),(3 685422.5),(4 928618.56),(5 1135206.6),(6 1274518.5),(7 1362130.4),(8 1408328.9),(9 1457030.9),(10 1523047.4),(11 1634040.9),(12 1782636.9),(13 1924851.4),(14 2048371.8),(15 2132321),(16 2168801.3),(17 2115295),(18 2053931),(19 1982596.1),(20 1959399.3),(21 1980944.3),(22 2062322.6),(23 2154977.3),(24 2251974),(25 2322202.3),(26 2375667.5),(27 2412563),(28 2418880.3),(29 2370610),(30 2339057.3),(31 2322923.5),(32 2331342.3),(33 2372366.3),(34 2414515.3),(35 2461697.3),(36 2493098),(37 2495151.5),(38 2447335.8),(39 2360854.3),(40 2283754),(41 2245527.5),(42 2264128.3),(43 2325231.8),(44 2393308),(45 2484959.8),(46 2581597.8),(47 2663292.3),(48 2720675.8),(49 2732082.8),(50 2739319),(51 2755809.3),(52 2791669.8),(53 2860394.8),(54 2958219.8),(55 3037966.5),(56 3115862.5),(57 3198723.5),(58 3283918.3),(59 3336308.8),(60 3426371),(61 3471369),(62 3552173.8),(63 3641957.3),(64 3718100.3),(65 3808195.5),(66 3877702.5),(67 3948713),(68 3981468.5),(69 4017287.5),(70 4029682.3),(71 4062323),(72 4064550),(73 4070571.3),(74 4075340.8),(75 4082002.3),(76 4096088),(77 4088034.8),(78 4091312.5),(79 4073362.8),
(1 158643.4),(2 431241.1),(3 726407),(4 983664.4),(5 1182841.1),(6 1330220.4),(7 1433179.6),(8 1473710.6),(9 1518648.8),(10 1599232.1),(11 1753265.4),(12 1945249.4),(13 2117723.8),(14 2269026.3),(15 2367315.3),(16 2412037.3),(17 2396739.5),(18 2374521.8),(19 2350421),(20 2354906.3),(21 2402940),(22 2500644.8),(23 2616377.3),(24 2747380.5),(25 2846813.8),(26 2900447),(27 2951611.5),(28 2959406.8),(29 2941573),(30 2918085.5),(31 2921472.8),(32 2968558.3),(33 3030181.8),(34 3064514.3),(35 3082677.3),(36 3070931.3),(37 3030276.8),(38 2978979.8),(39 2893532.3),(40 2805335.3),(41 2711978.8),(42 2642683.5),(43 2637979.8),(44 2675761),(45 2705242.8),(46 2752243.3),(47 2786685.3),(48 2801035.8),(49 2808321.3),(50 2797922.8),(51 2776281.5),(52 2762507.3),(53 2768343.3),(54 2793695),(55 2832882.8),(56 2861156.3),(57 2866307.8),(58 2876148.3),(59 2863680),(60 2870345.3),(61 2845832),(62 2830400),(63 2842232),(64 2871056.5),(65 2909513),(66 2938848),(67 2947229.8),(68 2945331),(69 2939938.8),(70 2908973.8),(71 2872954.3),(72 2828932),(73 2801821.8),(74 2799641.8),(75 2800447.5),(76 2800849.5),(77 2817201.8),(78 2853132.8),(79 2903755.8),
